Generation 0
2866,伊藤潤二,0,,,1,1,,,200,none
166,,0,,,,,rank,1,200,none
521,,8,,1,,1,,,200,none
162,"!",2,1,,1,,rank,,200,none
2809,"%",2,,,,,,1,200,none
519,'=,2,1,,,,,,200,none
168,"\",8,,1,,,rank,,200,none
2827,-,2,1,,,1,,1,200,none
534,_,8,,1,,,,,200,none
516,[,8,,1,1,,,1,200,none
1978,+,0,,,1,,,,200,none
515,"!",8,,,,,,,200,none
167,},0,,,,1,rank,,200,none
540,),2,1,1,,,,1,200,none
504,},2,,,,,,,200,none
181,"&",0,,,1,,rank,,200,none
2808,'=,0,,1,1,1,,1,200,none
2819,"!",0,,1,,1,,1,200,none
556,"&",8,,,,1,,,200,none
3003,],2,,,,,,1,200,none
542,"$",2,1,,,,,,200,none
524,[,2,,,,1,,,200,none
2639,"$",0,,,1,1,,,200,none
532,(,8,,,,,,,200,none
1999,*,0,,,1,,,1,200,none
535,"%",2,1,,1,1,,,200,none
169,#,8,,,,,rank,,200,none
617,"\",2,1,,,,,,200,none
171,,8,,1,,,rank,,200,none
521,},8,,1,1,,,1,200,none
182,{,8,,,1,1,rank,,200,none
183,(,0,,,,1,rank,,200,none
177,"$",8,,1,,,rank,1,200,none
3430,";",0,,1,1,,,,200,none
1898,*,2,,1,,1,,,200,none
542,-,8,,,1,,,,200,none
507,^,8,,,,1,,1,200,none
162,,2,1,,1,,rank,,200,none
169,@,2,1,1,,,rank,1,200,none
1967,@,0,,,1,1,,,200,none
3283,";",2,1,,,1,,1,200,none
518,伊藤潤二,2,1,1,,,,1,200,none
176,"%",8,,1,,,rank,,200,none
615,,2,1,,,,,1,200,none
166,[,2,1,,,,rank,,200,none
523,],8,,1,1,,,,200,none
776,"'",0,,1,,,,,200,none
176,^,0,,,,,rank,,200,none
171,'=,8,,,,,rank,,200,none
2860,"%",0,,1,,,,,200,none
610,,2,1,,1,1,,,200,none
530,{,2,1,1,,,,,200,none
164,*,2,1,,,,rank,,200,none
177,"'",2,1,,1,,rank,1,200,none
164,_,0,,,,1,rank,1,200,none
752,,0,,,,,,1,200,none
175,伊藤潤二,8,,,,,rank,,200,none
162,-,0,,1,,,rank,,200,none
167,],0,,,,1,rank,,200,none
524,_,2,1,,1,,,,200,none
514,{,0,,,,,,1,200,none
513,^,2,1,1,1,,,,200,none
528,#,0,,,,1,,,200,none
526,,8,,1,,,,,200,none
565,},2,1,1,,1,,1,200,none
530,@,8,,,,,,,200,none
165,[,0,,,,1,rank,,200,none
1798,"&",2,1,1,,,,1,200,none
176,+,2,1,,,,rank,1,200,none
756,"\",0,,,1,1,,1,200,none
168,";",8,,,,,rank,,200,none
538,#,2,1,1,1,,,1,200,none
517,+,8,,1,,1,,,200,none
530,"'",8,,,,1,,,200,none
188,),8,,,1,,rank,,200,none
554,),0,,,,1,,,200,none
514,(,2,1,1,1,,,1,200,none
169,],2,1,,1,1,rank,,200,none
759,,0,,,1,1,,,200,none
